id,filename,raw_component_id,area,x0,y0,x1,y1,native_width,native_height,crop_width,crop_height,anchor_x,anchor_y,size_class,occupancy
1,sprite_001__native_102x97__crop_108x103.png,4,7050,1126,5,1228,102,102,97,108,103,46.0,100.0,large_prop,0.712553
2,sprite_002__native_194x170__crop_200x176.png,6,19706,6,10,200,180,194,170,200,176,43.0,173.0,large_prop,0.597514
3,sprite_003__native_212x159__crop_218x165.png,3,20307,203,5,415,164,212,159,218,165,43.0,162.0,large_prop,0.602439
4,sprite_004__native_215x177__crop_221x183.png,2,19561,434,4,649,181,215,177,221,183,74.0,180.0,large_prop,0.514019
5,sprite_005__native_221x175__crop_227x178.png,1,18711,650,0,871,175,221,175,227,178,53.0,175.0,large_prop,0.483801
6,sprite_006__native_247x176__crop_253x182.png,7,25887,866,12,1113,188,247,176,253,182,87.0,179.0,large_prop,0.595487
7,sprite_007__native_187x242__crop_193x248.png,5,26634,1250,9,1437,251,187,242,193,248,98.5,245.0,large_prop,0.588545
8,sprite_008__native_25x14__crop_31x20.png,119,185,345,138,370,152,25,14,31,20,11.0,17.0,tile_scale,0.528571
9,sprite_009__native_155x147__crop_161x153.png,70,13023,1100,82,1255,229,155,147,161,153,77.0,150.0,large_prop,0.57156
10,sprite_010__native_78x71__crop_84x77.png,122,4100,1227,144,1305,215,78,71,84,77,48.0,74.0,medium_prop,0.740339
11,sprite_011__native_85x230__crop_91x236.png,130,11402,11,178,96,408,85,230,91,236,47.0,233.0,tall_prop,0.583223
12,sprite_012__native_95x200__crop_101x206.png,141,7353,116,197,211,397,95,200,101,206,87.5,203.0,tall_prop,0.387
13,sprite_013__native_68x241__crop_74x247.png,127,9711,228,170,296,411,68,241,74,247,35.0,244.0,tall_prop,0.592568
14,sprite_014__native_162x207__crop_168x213.png,137,24048,659,182,821,389,162,207,168,213,53.0,210.0,large_prop,0.717123
15,sprite_015__native_117x197__crop_123x203.png,138,19428,827,185,944,382,117,197,123,203,84.0,200.0,tall_prop,0.8429
16,sprite_016__native_81x195__crop_87x201.png,139,14105,962,188,1043,383,81,195,87,201,44.0,198.0,tall_prop,0.893004
17,sprite_017__native_88x153__crop_94x159.png,148,11914,1060,223,1148,376,88,153,94,159,58.0,156.0,tall_prop,0.884878
18,sprite_018__native_84x276__crop_90x282.png,125,12357,316,169,400,445,84,276,90,282,45.0,279.0,tall_prop,0.532997
19,sprite_019__native_53x252__crop_59x258.png,131,6279,429,179,482,431,53,252,59,258,32.0,255.0,tall_prop,0.470126
20,sprite_020__native_133x245__crop_139x251.png,136,14110,508,182,641,427,133,245,139,251,46.0,248.0,tall_prop,0.433021
21,sprite_021__native_154x161__crop_160x167.png,149,16705,1163,224,1317,385,154,161,160,167,87.0,164.0,large_prop,0.673752
22,sprite_022__native_114x114__crop_120x120.png,155,9330,1319,255,1433,369,114,114,120,120,83.0,117.0,large_prop,0.717913
23,sprite_023__native_204x94__crop_210x100.png,191,11732,1232,372,1436,466,204,94,210,100,140.0,97.0,large_prop,0.611806
24,sprite_024__native_55x142__crop_61x148.png,195,6854,872,389,927,531,55,142,61,148,29.0,145.0,tall_prop,0.877593
25,sprite_025__native_142x129__crop_148x135.png,196,12708,1070,389,1212,518,142,129,148,135,94.0,132.0,large_prop,0.693744
26,sprite_026__native_46x123__crop_52x129.png,206,4852,600,419,646,542,46,123,52,129,26.0,126.0,tall_prop,0.857547
27,sprite_027__native_84x164__crop_90x170.png,198,10705,661,396,745,560,84,164,90,170,42.0,167.0,tall_prop,0.777076
28,sprite_028__native_91x180__crop_97x186.png,194,13118,765,383,856,563,91,180,97,186,46.0,183.0,tall_prop,0.800855
29,sprite_029__native_42x129__crop_48x135.png,203,5098,947,413,989,542,42,129,48,135,23.0,132.0,tall_prop,0.940938
30,sprite_030__native_142x162__crop_148x168.png,205,16452,10,417,152,579,142,162,148,168,69.0,165.0,large_prop,0.71518
31,sprite_031__native_64x181__crop_70x187.png,201,7845,178,410,242,591,64,181,70,187,28.0,184.0,tall_prop,0.677227
32,sprite_032__native_230x149__crop_236x155.png,214,16838,241,453,471,602,230,149,236,155,11.0,152.0,large_prop,0.491334
33,sprite_033__native_104x110__crop_110x116.png,210,9656,461,442,565,552,104,110,110,116,70.0,113.0,large_prop,0.844056
34,sprite_034__native_37x109__crop_43x115.png,211,3691,996,444,1033,553,37,109,43,115,20.0,112.0,tall_prop,0.9152
35,sprite_035__native_186x174__crop_192x180.png,218,21575,1241,462,1427,636,186,174,192,180,116.0,177.0,large_prop,0.666636
36,sprite_036__native_134x69__crop_140x75.png,230,5145,855,550,989,619,134,69,140,75,101.0,72.0,large_prop,0.556457
37,sprite_037__native_204x116__crop_210x122.png,227,13871,1016,513,1220,629,204,116,210,122,143.0,119.0,large_prop,0.586165
38,sprite_038__native_99x100__crop_105x106.png,237,8402,752,574,851,674,99,100,105,106,81.5,103.0,large_prop,0.848687
39,sprite_039__native_218x118__crop_224x124.png,240,13282,7,586,225,704,218,118,224,124,52.0,121.0,large_prop,0.516327
40,sprite_040__native_135x177__crop_141x183.png,234,14250,510,563,645,740,135,177,141,183,84.0,180.0,large_prop,0.596359
41,sprite_041__native_77x141__crop_83x147.png,235,5428,656,571,733,712,77,141,83,147,24.0,144.0,tall_prop,0.499954
42,sprite_042__native_249x255__crop_255x261.png,239,43042,272,585,521,840,249,255,255,261,215.0,258.0,large_prop,0.67788
43,sprite_043__native_149x142__crop_155x148.png,256,12285,848,626,997,768,149,142,155,148,115.5,145.0,large_prop,0.580631
44,sprite_044__native_143x138__crop_149x144.png,277,12752,724,677,867,815,143,138,149,144,107.0,141.0,large_prop,0.646194
45,sprite_045__native_261x245__crop_267x251.png,243,34249,1008,601,1269,846,261,245,267,251,220.0,248.0,large_prop,0.535601
46,sprite_046__native_81x166__crop_87x172.png,260,9929,1354,642,1435,808,81,166,87,172,48.0,169.0,tall_prop,0.738435
47,sprite_047__native_100x227__crop_106x233.png,273,11732,155,663,255,890,100,227,106,233,20.0,230.0,tall_prop,0.516828
48,sprite_048__native_63x222__crop_69x228.png,271,6991,1269,659,1332,881,63,222,69,228,29.0,225.0,tall_prop,0.499857
49,sprite_049__native_130x222__crop_136x228.png,283,18909,12,696,142,918,130,222,136,228,52.0,225.0,tall_prop,0.655198
50,sprite_050__native_120x137__crop_126x143.png,300,8010,603,730,723,867,120,137,126,143,75.0,140.0,large_prop,0.487226
51,sprite_051__native_265x109__crop_271x115.png,324,10937,858,765,1123,874,265,109,271,115,239.0,112.0,large_prop,0.378639
52,sprite_052__native_67x149__crop_73x155.png,329,6517,542,775,609,924,67,149,73,155,38.0,152.0,tall_prop,0.65281
53,sprite_053__native_288x134__crop_294x140.png,357,19988,243,816,531,950,288,134,294,140,167.0,137.0,large_prop,0.517931
54,sprite_054__native_25x95__crop_31x101.png,374,1421,723,863,748,958,25,95,31,101,15.0,98.0,tall_prop,0.598316
55,sprite_055__native_30x76__crop_36x82.png,386,1468,633,882,663,958,30,76,36,82,18.0,79.0,tall_prop,0.64386
56,sprite_056__native_26x81__crop_32x87.png,382,1370,689,874,715,955,26,81,32,87,15.0,84.0,tall_prop,0.650522
57,sprite_057__native_28x91__crop_34x97.png,385,1585,755,878,783,969,28,91,34,97,16.0,94.0,tall_prop,0.622057
58,sprite_058__native_32x102__crop_38x108.png,389,1993,789,889,821,991,32,102,38,108,19.0,105.0,tall_prop,0.6106
59,sprite_059__native_101x111__crop_107x117.png,379,7165,1159,865,1260,976,101,111,107,117,81.0,114.0,large_prop,0.639104
60,sprite_060__native_112x255__crop_118x261.png,356,19830,1325,815,1437,1070,112,255,118,261,64.0,258.0,tall_prop,0.694328
61,sprite_061__native_89x209__crop_95x215.png,372,5871,831,859,920,1068,89,209,95,215,61.0,212.0,tall_prop,0.315628
