x,y,index,left,top,right_exclusive,bottom_exclusive,pixels,opaque_pixels,transparent_pixels,transparent_pct,dark_pixels,dark_pct,border_dark_pixels,border_transparent_pixels
0,0,0,0,0,32,32,1024,402,622,60.7422,15,1.4648,0,124
1,0,1,32,0,64,32,1024,307,717,70.0195,87,8.4961,0,124
2,0,2,64,0,96,32,1024,525,499,48.7305,140,13.6719,0,124
3,0,3,96,0,128,32,1024,317,707,69.043,24,2.3438,0,116
4,0,4,128,0,160,32,1024,505,519,50.6836,118,11.5234,5,117
5,0,5,160,0,192,32,1024,336,688,67.1875,23,2.2461,0,114
6,0,6,192,0,224,32,1024,346,678,66.2109,117,11.4258,2,117
7,0,7,224,0,256,32,1024,597,427,41.6992,106,10.3516,0,124
8,0,8,256,0,288,32,1024,609,415,40.5273,111,10.8398,0,124
9,0,9,288,0,320,32,1024,543,481,46.9727,45,4.3945,0,116
10,0,10,320,0,352,32,1024,674,350,34.1797,137,13.3789,0,124
11,0,11,352,0,384,32,1024,654,370,36.1328,147,14.3555,0,119
12,0,12,384,0,416,32,1024,546,478,46.6797,149,14.5508,0,111
13,0,13,416,0,448,32,1024,553,471,45.9961,46,4.4922,0,124
14,0,14,448,0,480,32,1024,450,574,56.0547,19,1.8555,0,101
15,0,15,480,0,512,32,1024,510,514,50.1953,18,1.7578,0,124
0,1,16,0,32,32,64,1024,240,784,76.5625,70,6.8359,5,112
1,1,17,32,32,64,64,1024,249,775,75.6836,81,7.9102,3,114
2,1,18,64,32,96,64,1024,239,785,76.6602,77,7.5195,4,115
3,1,19,96,32,128,64,1024,292,732,71.4844,112,10.9375,5,118
4,1,20,128,32,160,64,1024,347,677,66.1133,135,13.1836,4,117
5,1,21,160,32,192,64,1024,341,683,66.6992,97,9.4727,4,116
6,1,22,192,32,224,64,1024,218,806,78.7109,72,7.0312,5,111
7,1,23,224,32,256,64,1024,216,808,78.9062,62,6.0547,6,116
8,1,24,256,32,288,64,1024,217,807,78.8086,70,6.8359,4,116
9,1,25,288,32,320,64,1024,245,779,76.0742,80,7.8125,0,124
10,1,26,320,32,352,64,1024,288,736,71.875,127,12.4023,5,116
11,1,27,352,32,384,64,1024,224,800,78.125,64,6.25,2,122
12,1,28,384,32,416,64,1024,222,802,78.3203,60,5.8594,0,124
13,1,29,416,32,448,64,1024,207,817,79.7852,42,4.1016,0,124
14,1,30,448,32,480,64,1024,267,757,73.9258,63,6.1523,1,102
15,1,31,480,32,512,64,1024,307,717,70.0195,76,7.4219,5,116
0,2,32,0,64,32,96,1024,463,561,54.7852,131,12.793,6,111
