id,filename,raw_component_id,area,x0,y0,x1,y1,native_width,native_height,crop_width,crop_height,anchor_x,anchor_y,size_class,occupancy
1,sprite_001__native_43x57__crop_49x63.png,13,2264,22,18,65,75,43,57,49,63,24.5,60.0,medium_prop,0.923705
2,sprite_002__native_33x58__crop_39x64.png,12,1586,97,16,130,74,33,58,39,64,18.0,61.0,medium_prop,0.828631
3,sprite_003__native_62x57__crop_68x63.png,14,2869,165,19,227,76,62,57,68,63,34.0,60.0,medium_prop,0.811828
4,sprite_004__native_30x64__crop_36x70.png,11,1681,259,15,289,79,30,64,36,70,17.0,67.0,tall_prop,0.875521
5,sprite_005__native_32x66__crop_38x72.png,10,1754,411,13,443,79,32,66,38,72,18.0,69.0,tall_prop,0.830492
6,sprite_006__native_65x66__crop_71x72.png,5,3267,557,12,622,78,65,66,71,72,30.0,69.0,medium_prop,0.761538
7,sprite_007__native_65x63__crop_71x69.png,6,3348,636,12,701,75,65,63,71,69,17.0,66.0,medium_prop,0.817582
8,sprite_008__native_62x67__crop_68x73.png,7,2977,715,12,777,79,62,67,68,73,20.0,70.0,medium_prop,0.716659
9,sprite_009__native_63x66__crop_69x72.png,8,3700,794,12,857,78,63,66,69,72,21.0,69.0,medium_prop,0.889851
10,sprite_010__native_64x68__crop_70x74.png,4,3610,870,11,934,79,64,68,70,74,31.5,71.0,medium_prop,0.829504
11,sprite_011__native_65x67__crop_71x73.png,9,2962,948,12,1013,79,65,67,71,73,23.0,70.0,medium_prop,0.680138
12,sprite_012__native_61x65__crop_67x71.png,1,3094,1029,10,1090,75,61,65,67,71,45.0,68.0,medium_prop,0.780328
13,sprite_013__native_53x75__crop_59x81.png,2,2661,1111,10,1164,85,53,75,59,81,30.0,78.0,tall_prop,0.669434
14,sprite_014__native_60x68__crop_66x74.png,3,2758,1180,10,1240,78,60,68,66,74,49.0,71.0,medium_prop,0.67598
15,sprite_015__native_72x52__crop_78x58.png,17,2630,317,25,389,77,72,52,78,58,34.0,55.0,medium_prop,0.702457
16,sprite_016__native_71x63__crop_77x69.png,15,1812,474,19,545,82,71,63,77,69,65.0,66.0,medium_prop,0.405097
17,sprite_017__native_25x79__crop_31x85.png,31,1271,28,82,53,161,25,79,31,85,14.0,82.0,tall_prop,0.643544
18,sprite_018__native_25x79__crop_31x85.png,32,1282,104,82,129,161,25,79,31,85,14.5,82.0,tall_prop,0.649114
19,sprite_019__native_25x78__crop_31x84.png,34,1282,182,84,207,162,25,78,31,84,15.0,81.0,tall_prop,0.657436
20,sprite_020__native_50x69__crop_56x75.png,37,1458,248,89,298,158,50,69,56,75,14.0,72.0,tall_prop,0.422609
21,sprite_021__native_48x64__crop_54x70.png,43,1867,329,96,377,160,48,64,54,70,27.0,67.0,medium_prop,0.607747
22,sprite_022__native_55x66__crop_61x72.png,42,1762,402,95,457,161,55,66,61,72,30.0,69.0,medium_prop,0.485399
23,sprite_023__native_23x72__crop_29x78.png,38,1179,497,91,520,163,23,72,29,78,14.0,75.0,tall_prop,0.711957
24,sprite_024__native_25x63__crop_31x69.png,44,1163,575,97,600,160,25,63,31,69,15.0,66.0,medium_prop,0.738413
25,sprite_025__native_23x63__crop_29x69.png,45,1141,655,97,678,160,23,63,29,69,14.0,66.0,medium_prop,0.78744
26,sprite_026__native_27x65__crop_33x71.png,39,1269,733,91,760,156,27,65,33,71,13.0,68.0,tall_prop,0.723077
27,sprite_027__native_30x64__crop_36x70.png,40,1483,807,91,837,155,30,64,36,70,19.0,67.0,tall_prop,0.772396
28,sprite_028__native_23x71__crop_29x77.png,35,1135,885,84,908,155,23,71,29,77,13.5,74.0,tall_prop,0.69504
29,sprite_029__native_27x61__crop_33x67.png,41,1142,967,92,994,153,27,61,33,67,15.0,64.0,medium_prop,0.693382
30,sprite_030__native_26x55__crop_32x61.png,46,1087,1045,98,1071,153,26,55,32,61,15.5,58.0,small_prop,0.76014
31,sprite_031__native_26x54__crop_32x60.png,47,1153,1123,98,1149,152,26,54,32,60,15.0,57.0,small_prop,0.821225
32,sprite_032__native_32x72__crop_38x78.png,36,1645,1192,88,1224,160,32,72,38,78,20.0,75.0,tall_prop,0.713976
33,sprite_033__native_57x65__crop_63x71.png,77,2469,10,173,67,238,57,65,63,71,9.5,68.0,medium_prop,0.666397
34,sprite_034__native_49x68__crop_55x74.png,72,2653,93,170,142,238,49,68,55,74,10.0,71.0,tall_prop,0.796218
35,sprite_035__native_63x66__crop_69x72.png,73,2414,165,171,228,237,63,66,69,72,9.0,69.0,medium_prop,0.580568
36,sprite_036__native_52x76__crop_58x82.png,69,3058,244,165,296,241,52,76,58,82,11.5,79.0,tall_prop,0.773785
37,sprite_037__native_55x73__crop_61x79.png,70,3091,324,165,379,238,55,73,61,79,11.0,76.0,medium_prop,0.769863
38,sprite_038__native_54x75__crop_60x81.png,63,3341,404,162,458,237,54,75,60,81,45.5,78.0,tall_prop,0.824938
39,sprite_039__native_63x67__crop_69x73.png,75,2841,480,172,543,239,63,67,69,73,11.0,70.0,medium_prop,0.673063
40,sprite_040__native_50x84__crop_56x90.png,60,2403,557,159,607,243,50,84,56,90,11.0,87.0,tall_prop,0.572143
41,sprite_041__native_62x82__crop_68x88.png,64,3862,634,162,696,244,62,82,68,88,49.0,85.0,medium_prop,0.759638
42,sprite_042__native_62x82__crop_68x88.png,62,3893,713,161,775,243,62,82,68,88,51.0,85.0,medium_prop,0.765736
