id,filename,raw_component_id,area,x0,y0,x1,y1,native_width,native_height,crop_width,crop_height,anchor_x,anchor_y,size_class,occupancy
1,sprite_001__native_44x118__crop_50x124.png,17,2767,16,21,60,139,44,118,50,124,26.0,121.0,tall_prop,0.532935
2,sprite_002__native_45x127__crop_51x133.png,7,2788,82,12,127,139,45,127,51,133,28.0,130.0,tall_prop,0.487839
3,sprite_003__native_62x129__crop_68x135.png,8,3141,143,12,205,141,62,129,68,135,45.0,132.0,tall_prop,0.392723
4,sprite_004__native_45x134__crop_51x140.png,1,3117,292,10,337,144,45,134,51,140,29.0,137.0,tall_prop,0.516915
5,sprite_005__native_58x127__crop_64x133.png,14,2657,364,16,422,143,58,127,64,133,26.0,130.0,tall_prop,0.360711
6,sprite_006__native_67x130__crop_73x136.png,2,4378,441,10,508,140,67,130,73,136,21.0,133.0,tall_prop,0.502641
7,sprite_007__native_89x126__crop_95x132.png,13,4097,529,15,618,141,89,126,95,132,37.0,129.0,tall_prop,0.365347
8,sprite_008__native_85x131__crop_91x137.png,4,3821,672,11,757,142,85,131,91,137,69.0,134.0,tall_prop,0.343152
9,sprite_009__native_36x126__crop_42x132.png,15,2253,758,16,794,142,36,126,42,132,20.0,129.0,tall_prop,0.496693
10,sprite_010__native_41x129__crop_47x135.png,11,2940,802,13,843,142,41,129,47,135,27.0,132.0,tall_prop,0.555871
11,sprite_011__native_107x129__crop_113x135.png,6,5485,1024,11,1131,140,107,129,113,135,80.0,132.0,large_prop,0.397377
12,sprite_012__native_32x128__crop_38x134.png,12,2565,1148,14,1180,142,32,128,38,134,18.0,131.0,tall_prop,0.626221
13,sprite_013__native_32x125__crop_38x131.png,16,2905,1204,16,1236,141,32,125,38,131,19.0,128.0,tall_prop,0.72625
14,sprite_014__native_57x236__crop_63x242.png,9,5665,221,12,278,248,57,236,63,242,25.0,239.0,tall_prop,0.421127
15,sprite_015__native_37x233__crop_43x239.png,10,4533,627,13,664,246,37,233,43,239,20.0,236.0,tall_prop,0.525809
16,sprite_016__native_29x235__crop_35x241.png,5,4281,858,11,887,246,29,235,35,241,17.0,238.0,tall_prop,0.628173
17,sprite_017__native_115x236__crop_121x242.png,3,10988,901,10,1016,246,115,236,121,242,77.0,239.0,tall_prop,0.404864
18,sprite_018__native_46x101__crop_52x107.png,65,3236,14,146,60,247,46,101,52,107,20.0,104.0,tall_prop,0.696513
19,sprite_019__native_51x101__crop_57x107.png,66,4270,82,146,133,247,51,101,57,107,36.0,104.0,tall_prop,0.828965
20,sprite_020__native_67x99__crop_73x105.png,71,3069,147,148,214,247,67,99,73,105,25.0,102.0,tall_prop,0.462687
21,sprite_021__native_60x99__crop_66x105.png,73,3247,276,149,336,248,60,99,66,105,49.0,102.0,tall_prop,0.546633
22,sprite_022__native_61x100__crop_67x106.png,74,2885,347,149,408,249,61,100,67,106,36.0,103.0,tall_prop,0.472951
23,sprite_023__native_112x101__crop_118x107.png,61,5582,415,144,527,245,112,101,118,107,88.0,104.0,large_prop,0.493458
24,sprite_024__native_64x93__crop_70x99.png,79,3706,549,153,613,246,64,93,70,99,18.0,96.0,tall_prop,0.622648
25,sprite_025__native_46x103__crop_52x109.png,64,3369,678,145,724,248,46,103,52,109,26.0,106.0,tall_prop,0.71106
26,sprite_026__native_27x101__crop_33x107.png,68,2101,741,147,768,248,27,101,33,107,15.5,104.0,tall_prop,0.770444
27,sprite_027__native_53x100__crop_59x106.png,69,2987,784,147,837,247,53,100,59,106,36.0,103.0,tall_prop,0.563585
28,sprite_028__native_29x101__crop_35x107.png,67,2186,903,146,932,247,29,101,35,107,18.0,104.0,tall_prop,0.74633
29,sprite_029__native_59x88__crop_65x94.png,77,3478,1010,151,1069,239,59,88,65,94,14.0,91.0,tall_prop,0.669877
30,sprite_030__native_27x97__crop_33x103.png,75,1574,1084,149,1111,246,27,97,33,103,16.0,100.0,tall_prop,0.600993
31,sprite_031__native_35x96__crop_41x102.png,63,2098,1118,144,1153,240,35,96,41,102,14.0,99.0,tall_prop,0.624405
32,sprite_032__native_79x97__crop_85x103.png,78,5045,1162,152,1241,249,79,97,85,103,62.5,100.0,large_prop,0.658358
33,sprite_033__native_90x63__crop_96x69.png,109,4495,15,251,105,314,90,63,96,69,77.0,66.0,medium_prop,0.792769
34,sprite_034__native_113x63__crop_119x69.png,110,5650,119,252,232,315,113,63,119,69,96.0,66.0,large_prop,0.793651
35,sprite_035__native_98x61__crop_104x67.png,112,4337,243,253,341,314,98,61,104,67,53.0,64.0,large_prop,0.725493
36,sprite_036__native_124x65__crop_130x71.png,114,5169,355,255,479,320,124,65,130,71,102.5,68.0,large_prop,0.641315
37,sprite_037__native_128x68__crop_134x74.png,106,7337,499,249,627,317,128,68,134,74,64.0,71.0,large_prop,0.842946
