x,y,index,left,top,right_exclusive,bottom_exclusive,pixels,opaque_pixels,transparent_pixels,transparent_pct,dark_pixels,dark_pct,border_dark_pixels,border_transparent_pixels
0,0,0,0,0,32,32,1024,1024,0,0.0,463,45.2148,103,0
1,0,1,32,0,64,32,1024,1024,0,0.0,573,55.957,81,0
2,0,2,64,0,96,32,1024,1024,0,0.0,492,48.0469,81,0
3,0,3,96,0,128,32,1024,1024,0,0.0,476,46.4844,90,0
4,0,4,128,0,160,32,1024,1024,0,0.0,445,43.457,77,0
5,0,5,160,0,192,32,1024,1024,0,0.0,445,43.457,79,0
6,0,6,192,0,224,32,1024,1024,0,0.0,538,52.5391,76,0
7,0,7,224,0,256,32,1024,1024,0,0.0,361,35.2539,93,0
8,0,8,256,0,288,32,1024,1024,0,0.0,606,59.1797,106,0
9,0,9,288,0,320,32,1024,1024,0,0.0,371,36.2305,75,0
10,0,10,320,0,352,32,1024,1024,0,0.0,386,37.6953,68,0
11,0,11,352,0,384,32,1024,1024,0,0.0,426,41.6016,61,0
12,0,12,384,0,416,32,1024,1024,0,0.0,653,63.7695,71,0
13,0,13,416,0,448,32,1024,1024,0,0.0,721,70.4102,88,0
14,0,14,448,0,480,32,1024,1024,0,0.0,610,59.5703,91,0
15,0,15,480,0,512,32,1024,1024,0,0.0,619,60.4492,108,0
0,1,16,0,32,32,64,1024,1024,0,0.0,517,50.4883,93,0
1,1,17,32,32,64,64,1024,1024,0,0.0,531,51.8555,76,0
2,1,18,64,32,96,64,1024,1024,0,0.0,542,52.9297,70,0
3,1,19,96,32,128,64,1024,1024,0,0.0,552,53.9062,70,0
4,1,20,128,32,160,64,1024,1024,0,0.0,518,50.5859,71,0
5,1,21,160,32,192,64,1024,1024,0,0.0,506,49.4141,67,0
6,1,22,192,32,224,64,1024,1024,0,0.0,525,51.2695,70,0
7,1,23,224,32,256,64,1024,1024,0,0.0,510,49.8047,76,0
8,1,24,256,32,288,64,1024,1024,0,0.0,450,43.9453,90,0
9,1,25,288,32,320,64,1024,1024,0,0.0,524,51.1719,66,0
10,1,26,320,32,352,64,1024,1024,0,0.0,658,64.2578,64,0
11,1,27,352,32,384,64,1024,1024,0,0.0,581,56.7383,75,0
12,1,28,384,32,416,64,1024,1024,0,0.0,553,54.0039,77,0
13,1,29,416,32,448,64,1024,1024,0,0.0,594,58.0078,78,0
14,1,30,448,32,480,64,1024,1024,0,0.0,562,54.8828,70,0
15,1,31,480,32,512,64,1024,1024,0,0.0,566,55.2734,86,0
0,2,32,0,64,32,96,1024,1024,0,0.0,647,63.1836,79,0
1,2,33,32,64,64,96,1024,1024,0,0.0,792,77.3438,77,0
2,2,34,64,64,96,96,1024,1024,0,0.0,751,73.3398,75,0
3,2,35,96,64,128,96,1024,1024,0,0.0,735,71.7773,89,0
4,2,36,128,64,160,96,1024,1024,0,0.0,739,72.168,89,0
5,2,37,160,64,192,96,1024,1024,0,0.0,777,75.8789,77,0
6,2,38,192,64,224,96,1024,1024,0,0.0,721,70.4102,80,0
7,2,39,224,64,256,96,1024,1024,0,0.0,607,59.2773,79,0
8,2,40,256,64,288,96,1024,1024,0,0.0,600,58.5938,101,0
9,2,41,288,64,320,96,1024,1024,0,0.0,643,62.793,68,0
10,2,42,320,64,352,96,1024,1024,0,0.0,761,74.3164,78,0
11,2,43,352,64,384,96,1024,1024,0,0.0,679,66.3086,71,0
12,2,44,384,64,416,96,1024,1024,0,0.0,690,67.3828,72,0
13,2,45,416,64,448,96,1024,1024,0,0.0,725,70.8008,87,0
14,2,46,448,64,480,96,1024,1024,0,0.0,745,72.7539,73,0
15,2,47,480,64,512,96,1024,1024,0,0.0,644,62.8906,86,0
0,3,48,0,96,32,128,1024,1024,0,0.0,624,60.9375,71,0
1,3,49,32,96,64,128,1024,1024,0,0.0,637,62.207,59,0
2,3,50,64,96,96,128,1024,1024,0,0.0,637,62.207,53,0
3,3,51,96,96,128,128,1024,1024,0,0.0,642,62.6953,53,0
4,3,52,128,96,160,128,1024,1024,0,0.0,639,62.4023,56,0
5,3,53,160,96,192,128,1024,1024,0,0.0,637,62.207,51,0
6,3,54,192,96,224,128,1024,1024,0,0.0,637,62.207,65,0
7,3,55,224,96,256,128,1024,1024,0,0.0,718,70.1172,82,0
8,3,56,256,96,288,128,1024,1024,0,0.0,656,64.0625,94,0
9,3,57,288,96,320,128,1024,1024,0,0.0,742,72.4609,76,0
10,3,58,320,96,352,128,1024,1024,0,0.0,768,75.0,76,0
11,3,59,352,96,384,128,1024,1024,0,0.0,746,72.8516,74,0
12,3,60,384,96,416,128,1024,1024,0,0.0,730,71.2891,72,0
13,3,61,416,96,448,128,1024,1024,0,0.0,722,70.5078,67,0
14,3,62,448,96,480,128,1024,1024,0,0.0,736,71.875,88,0
15,3,63,480,96,512,128,1024,1024,0,0.0,725,70.8008,84,0
0,4,64,0,128,32,160,1024,1024,0,0.0,633,61.8164,65,0
1,4,65,32,128,64,160,1024,1024,0,0.0,674,65.8203,67,0
2,4,66,64,128,96,160,1024,1024,0,0.0,638,62.3047,48,0
3,4,67,96,128,128,160,1024,1024,0,0.0,670,65.4297,50,0
4,4,68,128,128,160,160,1024,1024,0,0.0,677,66.1133,58,0
5,4,69,160,128,192,160,1024,1024,0,0.0,673,65.7227,62,0
6,4,70,192,128,224,160,1024,1024,0,0.0,686,66.9922,64,0
7,4,71,224,128,256,160,1024,1024,0,0.0,756,73.8281,97,0
8,4,72,256,128,288,160,1024,1024,0,0.0,685,66.8945,83,0
9,4,73,288,128,320,160,1024,1024,0,0.0,699,68.2617,85,0
10,4,74,320,128,352,160,1024,1024,0,0.0,696,67.9688,77,0
11,4,75,352,128,384,160,1024,1024,0,0.0,684,66.7969,78,0
