id,x,y,semantic_name,family,geometry_class,connectivity_class,condition,presentation_role,placement_rule,review_required,confidence,usage_tags
wall_00_00,0,0,masonry_cap_straight_a,wall_cap,straight,horizontal_run,intact,perimeter_module,roof_or_retaining_top_edge,False,0.98,roof_edge|retaining_top
wall_01_00,1,0,masonry_cap_straight_b,wall_cap,straight,horizontal_run,intact,perimeter_module,roof_or_retaining_top_edge,False,0.98,roof_edge|retaining_top
wall_02_00,2,0,masonry_cap_corner_a,wall_cap,corner,corner,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_corner|retaining_corner
wall_03_00,3,0,masonry_cap_corner_b,wall_cap,corner,corner,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_corner|retaining_corner
wall_04_00,4,0,masonry_cap_corner_c,wall_cap,corner,corner,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_corner|retaining_corner
wall_05_00,5,0,masonry_cap_corner_d,wall_cap,corner,corner,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_corner|retaining_corner
wall_06_00,6,0,masonry_cap_junction_a,wall_cap,junction,junction,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_junction|retaining_junction
wall_07_00,7,0,masonry_cap_rounded_corner,wall_cap,rounded_corner,corner,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,rounded_corner|basin_edge
wall_08_00,8,0,masonry_cap_junction_b,wall_cap,junction,junction,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_junction|retaining_junction
wall_09_00,9,0,masonry_cap_junction_c,wall_cap,junction,junction,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_junction|retaining_junction
wall_10_00,10,0,masonry_cap_junction_d,wall_cap,junction,junction,intact,perimeter_module,roof_or_retaining_top_edge,True,0.82,roof_junction|retaining_junction
wall_11_00,11,0,masonry_pier_isolated,wall_pier,isolated_pier,terminal,intact,perimeter_module,terminal_or_support,False,0.98,pier|terminal|support
wall_12_00,12,0,masonry_cap_straight_short_a,wall_cap,straight,horizontal_run,intact,perimeter_module,roof_or_retaining_top_edge,False,0.98,roof_edge|short_run
wall_13_00,13,0,masonry_cap_straight_short_b,wall_cap,straight,horizontal_run,intact,perimeter_module,roof_or_retaining_top_edge,False,0.98,roof_edge|short_run
wall_00_01,0,1,civic_arch_opening_large_a,civic_opening,arch_opening,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,arcade|portal|facade
wall_01_01,1,1,civic_rect_opening_wide,civic_opening,rect_opening,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,portal|facade
wall_02_01,2,1,civic_arch_opening_small,civic_opening,arch_opening,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,arcade|portal
wall_03_01,3,1,civic_recessed_window,civic_opening,window,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,window|facade
wall_04_01,4,1,civic_arch_opening_large_b,civic_opening,arch_opening,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,arcade|portal
wall_05_01,5,1,civic_arch_opening_medium,civic_opening,arch_opening,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,arcade|portal
wall_06_01,6,1,civic_triple_niche,civic_opening,niche,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,niche|station_facade
wall_07_01,7,1,civic_barred_gate_wide,civic_opening,barred_gate,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,gate|secure_facade
wall_08_01,8,1,civic_vertical_niche,civic_opening,niche,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,niche|station_facade
wall_09_01,9,1,civic_barred_gate_narrow_a,civic_opening,barred_gate,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,gate|secure_facade
wall_10_01,10,1,civic_barred_gate_narrow_b,civic_opening,barred_gate,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,gate|secure_facade
wall_11_01,11,1,civic_tall_arched_gate,civic_opening,arched_gate,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,gate|portal
wall_12_01,12,1,civic_arched_door_amber_header,civic_opening,arched_door,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,door|station_facade
wall_13_01,13,1,civic_triple_window_bay,civic_opening,window_bay,front_facade,intact,front_facade_module,south_or_player_facing_facade,False,0.98,window|station_facade
wall_00_02,0,2,utility_railing_machine_a,utility_parapet,railing_machine,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|utility
wall_01_02,1,2,utility_railing_pier_a,utility_parapet,railing_pier,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|pier
wall_02_02,2,2,utility_railing_narrow,utility_parapet,railing,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge
wall_03_02,3,2,utility_railing_pier_b,utility_parapet,railing_pier,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|pier
wall_04_02,4,2,utility_railing_machine_b,utility_parapet,railing_machine,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|utility
wall_05_02,5,2,utility_parapet_damaged,utility_parapet,damaged_transition,front_edge,damaged,front_edge_module,exposed_service_edge,False,0.98,service_edge|damage
wall_06_02,6,2,utility_rounded_corner,utility_parapet,rounded_corner,corner,intact,front_edge_module,exposed_service_edge,True,0.82,service_corner|rounded_edge
wall_07_02,7,2,low_retaining_plain_a,retaining_wall,straight,front_edge,intact,front_edge_module,exposed_retaining_face,False,0.98,retaining|low_wall
wall_08_02,8,2,low_retaining_damaged_a,retaining_wall,straight,front_edge,worn,front_edge_module,exposed_retaining_face,False,0.98,retaining|low_wall|wear
wall_09_02,9,2,low_rail_plain_a,utility_parapet,railing,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|rail
wall_10_02,10,2,low_rail_plain_b,utility_parapet,railing,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|rail
wall_11_02,11,2,low_rail_amber_post,utility_parapet,railing,front_edge,intact,front_edge_module,exposed_service_edge,False,0.98,service_edge|rail|amber
wall_12_02,12,2,service_panel_retaining,retaining_wall,service_panel,front_edge,intact,front_edge_module,exposed_retaining_face,False,0.98,retaining|utility
wall_13_02,13,2,service_coil_retaining,retaining_wall,service_panel,front_edge,intact,front_edge_module,exposed_retaining_face,False,0.98,retaining|utility
wall_00_03,0,3,rounded_retaining_corner_large,retaining_wall,rounded_corner,corner,intact,front_edge_module,exposed_retaining_face,True,0.82,retaining|rounded_edge
wall_01_03,1,3,pipe_retaining_straight_a,pipe_retaining,straight,horizontal_run,intact,front_edge_module,retaining_or_service_edge,False,0.98,retaining|pipe
wall_02_03,2,3,pipe_retaining_straight_b,pipe_retaining,straight,horizontal_run,intact,front_edge_module,retaining_or_service_edge,False,0.98,retaining|pipe
wall_03_03,3,3,pipe_retaining_straight_c,pipe_retaining,straight,horizontal_run,intact,front_edge_module,retaining_or_service_edge,False,0.98,retaining|pipe
wall_04_03,4,3,pipe_retaining_straight_d,pipe_retaining,straight,horizontal_run,intact,front_edge_module,retaining_or_service_edge,False,0.98,retaining|pipe
wall_05_03,5,3,pipe_retaining_corner,pipe_retaining,rounded_corner,corner,intact,front_edge_module,retaining_or_service_edge,True,0.82,retaining|pipe|corner
wall_06_03,6,3,pipe_retaining_corner_small,pipe_retaining,rounded_corner,corner,intact,front_edge_module,retaining_or_service_edge,True,0.82,retaining|pipe|corner
wall_07_03,7,3,low_pipe_wall,pipe_retaining,straight,horizontal_run,intact,front_edge_module,retaining_or_service_edge,False,0.98,retaining|pipe|low_wall
wall_08_03,8,3,railing_plain_a,civic_railing,railing,front_edge,intact,front_edge_module,plaza_or_drop_edge,False,0.98,railing|plaza_edge
