file,piece_id,row,column,source_x,source_y,source_width,source_height,output_width,output_height,scale,pixel_count
environment__wall__ruined_stone__piece_001__r01c01__1f__65x81.png,001,1,1,66,42,85,108,65,81,0.727273,7451
environment__wall__ruined_stone__piece_002__r01c02__1f__63x82.png,002,1,2,188,41,83,109,63,82,0.727273,7294
environment__wall__ruined_stone__piece_003__r01c03__1f__62x81.png,003,1,3,321,43,81,108,62,81,0.727273,7085
environment__wall__ruined_stone__piece_004__r01c04__1f__68x82.png,004,1,4,445,41,89,109,68,82,0.727273,7619
environment__wall__ruined_stone__piece_005__r01c05__1f__66x82.png,005,1,5,580,41,87,109,66,82,0.727273,7529
environment__wall__ruined_stone__piece_006__r01c06__1f__68x83.png,006,1,6,716,39,89,110,68,83,0.727273,7684
environment__wall__ruined_stone__piece_007__r01c07__1f__71x82.png,007,1,7,841,40,93,109,71,82,0.727273,7988
environment__wall__ruined_stone__piece_008__r01c08__1f__80x81.png,008,1,8,966,41,106,108,80,81,0.727273,8695
environment__wall__ruined_stone__piece_009__r01c09__1f__58x82.png,009,1,9,1109,41,76,109,58,82,0.727273,6853
environment__wall__ruined_stone__piece_010__r02c01__1f__71x82.png,010,2,1,56,182,94,109,71,82,0.727273,8051
environment__wall__ruined_stone__piece_011__r02c02__1f__69x82.png,011,2,2,188,182,91,109,69,82,0.727273,7775
environment__wall__ruined_stone__piece_012__r02c03__1f__68x82.png,012,2,3,318,182,89,109,68,82,0.727273,7627
environment__wall__ruined_stone__piece_013__r02c04__1f__71x82.png,013,2,4,444,182,94,109,71,82,0.727273,7891
environment__wall__ruined_stone__piece_014__r02c05__1f__71x81.png,014,2,5,580,183,93,108,71,81,0.727273,8117
environment__wall__ruined_stone__piece_015__r02c06__1f__71x81.png,015,2,6,711,183,93,108,71,81,0.727273,7897
environment__wall__ruined_stone__piece_016__r02c07__1f__68x81.png,016,2,7,844,183,90,108,68,81,0.727273,7726
environment__wall__ruined_stone__piece_017__r02c08__1f__70x81.png,017,2,8,970,183,92,108,70,81,0.727273,7903
environment__wall__ruined_stone__piece_018__r02c09__1f__60x84.png,018,2,9,1106,180,79,111,60,84,0.727273,7068
environment__wall__ruined_stone__piece_019__r03c01__1f__79x87.png,019,3,1,50,322,104,115,79,87,0.727273,8887
environment__wall__ruined_stone__piece_020__r03c02__1f__77x86.png,020,3,2,183,323,102,114,77,86,0.727273,8686
environment__wall__ruined_stone__piece_021__r03c03__1f__75x87.png,021,3,3,312,323,99,115,75,87,0.727273,8588
environment__wall__ruined_stone__piece_022__r03c04__1f__78x87.png,022,3,4,439,322,103,116,78,87,0.727273,8730
