path,filename,canvas_w,canvas_h,canvas_area,canvas_tiles_w,canvas_tiles_h,canvas_multiple_of_tile,visible_left,visible_top,visible_right_exclusive,visible_bottom_exclusive,visible_w,visible_h,visible_bbox_area,visible_tiles_w_ceil,visible_tiles_h_ceil,transparent_pixel_count,transparent_pixel_pct,bbox_empty_pct,margin_left,margin_top,margin_right,margin_bottom,max_margin_px,max_margin_tiles,parsed_dim_hint,parsed_frame_hint,suggested_trim_canvas_w,suggested_trim_canvas_h,suggested_trim_tiles_w,suggested_trim_tiles_h,issues,suspicious
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__fast_01__e__3f__96.png,operator__fx__unarmed__fast_01__e__3f__96.png,288,96,27648,9.0,3.0,True,154,51,236,60,82,9,738,3,1,27525,0.9956,0.9733,154,51,52,36,154,4.812,,3f__96,96,32,3,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__fast_recovery_01__n__2f__96.png,operator__fx__unarmed__fast_recovery_01__n__2f__96.png,192,96,18432,6.0,3.0,True,113,11,162,36,49,25,1225,2,1,17990,0.976,0.9335,113,11,30,60,113,3.531,,2f__96,64,32,2,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/curated/overlay/unarmed/fast_attack_west_fx.png,fast_attack_west_fx.png,480,96,46080,15.0,3.0,True,150,40,416,59,266,19,5054,9,1,45855,0.9951,0.8903,150,40,64,37,150,4.688,,,288,32,9,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__light_hitreact_01__s__3f__96.png,operator__fx__unarmed__light_hitreact_01__s__3f__96.png,288,96,27648,9.0,3.0,True,33,16,159,44,126,28,3528,4,1,27469,0.9935,0.8724,33,16,129,52,129,4.031,,3f__96,128,32,4,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__fast_01__w__5f__96.png,operator__fx__unarmed__fast_01__w__5f__96.png,480,96,46080,15.0,3.0,True,150,40,425,62,275,22,6050,9,1,45858,0.9952,0.8687,150,40,55,34,150,4.688,,5f__96,288,32,9,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/curated/overlay/unarmed/fast_attack_east_fx.png,fast_attack_east_fx.png,480,96,46080,15.0,3.0,True,131,40,469,59,338,19,6422,11,1,45855,0.9951,0.8606,131,40,11,37,131,4.094,,,352,32,11,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__fast_01__e__5f__96.png,operator__fx__unarmed__fast_01__e__5f__96.png,480,96,46080,15.0,3.0,True,131,40,469,59,338,19,6422,11,1,45855,0.9951,0.8606,131,40,11,37,131,4.094,,5f__96,352,32,11,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
tiles/interiors/runtime/threshold_metal_vertical_32.png,threshold_metal_vertical_32.png,32,32,1024,1.0,1.0,True,13,0,19,32,6,32,192,1,1,832,0.8125,0.8125,13,0,13,0,13,0.406,,,32,32,1,1,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/idle/operator_idle_main1.png,operator_idle_main1.png,96,96,9216,3.0,3.0,True,33,20,62,81,29,61,1769,1,2,8090,0.8778,0.8081,33,20,34,15,34,1.062,,,32,64,1,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/idle/operator_idle_main2.png,operator_idle_main2.png,96,96,9216,3.0,3.0,True,33,20,62,81,29,61,1769,1,2,8090,0.8778,0.8081,33,20,34,15,34,1.062,,,32,64,1,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
