level,placement_id,source_id,semantic_name,semantic_family,runtime_family,variant_key,cell_x,cell_y,offset_x,offset_y,world_x,world_y,native_w,native_h,anchor_mode,collision_profile,role
lower_quarter,arrival_w_lamp,17,lantern_standard_a,civic_lamppost,meridian_civic_lighting,lantern_standard_a,54,88,0,0,-304,1296,25,79,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,arrival_e_lamp,18,lantern_standard_amber,civic_lamppost,meridian_civic_lighting,lantern_standard_amber,75,88,0,0,368,1296,25,79,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,arrival_w_bench,65,bench_wood_short,bench,meridian_civic_bench,bench_wood_short,57,85,0,0,-208,1200,86,59,floor_contact,authored_solid_rect,physical_prop
lower_quarter,arrival_e_bench,67,bench_metal_long,bench,meridian_civic_bench,bench_metal_long,71,85,0,0,240,1200,137,65,floor_contact,authored_solid_rect,physical_prop
lower_quarter,personnel_sign,36,vertical_full_frame_a,sign_frame,meridian_civic_signage,vertical_full_frame_a,60,82,0,0,-112,1104,52,76,floor_contact,optional_post,physical_prop
lower_quarter,arrival_directory,45,directory_board,information_terminal,meridian_civic_terminal,directory_board,69,82,0,0,176,1104,58,76,floor_contact,authored_solid_small_rect,physical_prop
lower_quarter,arrival_bin,69,waste_bin_round,waste_bin,meridian_civic_waste,waste_bin_round,53,85,0,0,-336,1200,36,57,floor_contact,optional_small_rect,physical_prop
lower_quarter,arrival_bollard_w,75,bollard_stone_a,bollard,meridian_civic_traffic_control,bollard_stone_a,58,82,0,0,-176,1104,26,69,floor_contact,authored_solid_post_10,physical_prop
lower_quarter,arrival_bollard_e,76,bollard_stone_b,bollard,meridian_civic_traffic_control,bollard_stone_b,71,82,0,0,240,1104,26,63,floor_contact,authored_solid_post_10,physical_prop
lower_quarter,arrival_drain,88,round_storm_drain,drain_grate,meridian_civic_floor_hardware,round_storm_drain,58,90,0,0,-176,1360,65,66,floor_center,none,floor_overlay
lower_quarter,arrival_hatch,94,service_plate_plain_a,access_hatch,meridian_civic_floor_hardware,service_plate_plain_a,72,90,0,0,272,1360,69,60,floor_center,none,floor_overlay
lower_quarter,arrival_pier,1,square_civic_pier_base,structural_pier,meridian_civic_structure,square_civic_pier_base,52,83,0,0,-368,1136,43,57,floor_contact,authored_solid_small_rect,architectural_module
lower_quarter,arrival_railing,3,ornate_three_post_railing,ornamental_railing,meridian_civic_structure,ornate_three_post_railing,54,83,0,0,-304,1136,62,57,floor_contact,authored_solid_line,architectural_module
lower_quarter,arrival_chain_railing,16,chain_railing_span,chain_railing,meridian_civic_structure,chain_railing_span,73,83,0,0,304,1136,71,63,floor_contact,authored_solid_line,architectural_module
lower_quarter,arrival_beacon,99,amber_beacon_pedestal,amber_beacon_pedestal,meridian_civic_worksite,amber_beacon_pedestal,73,82,0,0,304,1104,27,68,floor_contact,authored_solid_post_10,physical_prop
lower_quarter,direct_closure_cluster,74,temporary_closure_cluster,temporary_barricade_cluster,meridian_civic_traffic_control,temporary_closure_cluster,63,73,0,0,-16,816,146,145,floor_contact,authored_topology_required,physical_prop
lower_quarter,direct_concrete_barrier,78,concrete_barrier_striped,concrete_barrier,meridian_civic_traffic_control,concrete_barrier_striped,61,76,0,0,-80,912,127,60,floor_contact,authored_solid_line,physical_prop
lower_quarter,direct_crowd_barrier,83,crowd_barrier_amber,crowd_control_barrier,meridian_civic_traffic_control,crowd_barrier_amber,66,76,0,0,80,912,76,65,floor_contact,optional_line,physical_prop
lower_quarter,direct_cone_a,79,cone_barrel_a,traffic_cone,meridian_civic_traffic_control,cone_barrel_a,59,77,0,0,-144,944,38,63,floor_contact,none,physical_prop
lower_quarter,direct_cone_b,80,cone_standard_wide,traffic_cone,meridian_civic_traffic_control,cone_standard_wide,64,77,0,0,16,944,52,66,floor_contact,none,physical_prop
lower_quarter,direct_cone_c,81,cone_standard_tall,traffic_cone,meridian_civic_traffic_control,cone_standard_tall,69,77,0,0,176,944,34,70,floor_contact,none,physical_prop
lower_quarter,direct_cone_cluster,84,cone_cluster_three,cone_cluster,meridian_civic_traffic_control,cone_cluster_three,66,78,0,0,80,976,43,59,floor_contact,none,physical_prop
lower_quarter,direct_sawhorse_a,85,sawhorse_small,sawhorse_barricade,meridian_civic_traffic_control,sawhorse_small,58,75,0,0,-176,880,47,63,floor_contact,optional_line,physical_prop
lower_quarter,direct_sawhorse_b,86,sawhorse_large,sawhorse_barricade,meridian_civic_traffic_control,sawhorse_large,69,75,0,0,176,880,62,64,floor_contact,optional_line,physical_prop
lower_quarter,direct_warning_sign,100,tripod_warning_sign,tripod_sign,meridian_civic_traffic_control,tripod_warning_sign,59,79,0,0,-144,1008,50,88,floor_contact,none,physical_prop
lower_quarter,direct_warning_beacon,101,tripod_warning_beacon,tripod_beacon,meridian_civic_worksite,tripod_warning_beacon,69,79,0,0,176,1008,42,89,floor_contact,none,physical_prop
lower_quarter,direct_rubble_a,176,rubble_boulder_pile_a,rubble,meridian_civic_debris,rubble_boulder_pile_a,58,73,0,0,-176,816,79,78,floor_contact,optional_authored_solid,debris
lower_quarter,direct_rubble_b,178,rubble_split_blocks,rubble,meridian_civic_debris,rubble_split_blocks,63,72,0,0,-16,784,111,80,floor_contact,optional_authored_solid,debris
lower_quarter,direct_rubble_c,183,rubble_boulder_pile_b,rubble,meridian_civic_debris,rubble_boulder_pile_b,68,73,0,0,144,816,108,75,floor_contact,optional_authored_solid,debris
lower_quarter,direct_micro_a,182,micro_stone_a,micro_debris,meridian_civic_debris,micro_stone_a,61,75,0,0,-80,880,19,20,floor_center,none,micro_debris
lower_quarter,direct_micro_b,184,micro_stone_b,micro_debris,meridian_civic_debris,micro_stone_b,66,75,0,0,80,880,12,11,floor_center,none,micro_debris
lower_quarter,direct_service_bollard,98,heavy_service_bollard,service_bollard,meridian_civic_worksite,heavy_service_bollard,57,78,0,0,-208,976,45,78,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,direct_amber_w,24,amber_globe_column_a,amber_lamppost,meridian_civic_lighting,amber_globe_column_a,58,80,0,0,-176,1040,25,63,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,direct_amber_e,25,amber_globe_column_b,amber_lamppost,meridian_civic_lighting,amber_globe_column_b,69,80,0,0,176,1040,23,63,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,arcade_gooseneck,20,gooseneck_single,gooseneck_lamppost,meridian_civic_lighting,gooseneck_single,33,74,0,0,-976,848,50,69,floor_contact,authored_solid_post_12,physical_prop
