alsa-oss 1.1.8-6
alsa-utils 1.2.15.2-2
amd-ucode 20260309-1
android-sdk 26.1.1-2
android-sdk-build-tools r36.1-2
android-sdk-platform-tools 37.0.0-1
android-studio 2025.3.2.6-1
android-tools 35.0.2-23
arp-scan 1.10.0-4
aseprite 1.3.17-1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2
bcc-libbpf-tools 0.36.1-1
bind 9.20.20-1
bitwig-studio 6.0.0-1
blas-openblas 0.3.31-1
bluetui 0.8.1-1
bluez 5.86-4
bluez-utils 5.86-4
bottom 0.12.3-2
bpftrace 0.24.2-4
btop 1.4.6-1
bun 1.3.10-1
calf 0.90.8-6
calibre 8.7.0-9
chatblade 0.7.0-3
chrome-remote-desktop 146.0.7680.5-1
chromium 146.0.7680.71-2
clang 21.1.8-1
claude-code 2.1.74-1
claude-code-router 2.0.0-1
cloc 2.08-1
cloudflared 2026.3.0-1
cmake 4.2.3-1
cockpit 357-1
cockpit-files 37-1
cronie 1.7.2-2
ctop 0.7.7-3
cuda 13.1.1-1
cython 3.2.4-3
darkman 2.3.1-1
deepsource-cli-bin 0.6.0-1
dialog 1:1.3_20260107-1
discord-ptb 0.0.182-1
discordo-git r1174.9aa853f-1
dmidecode 3.7-1
dnsmasq 2.92-1
docker 1:29.3.0-1
docker-compose 5.1.0-1
dolphin 25.12.3-1
dos2unix 7.5.4-1
dropbox-cli 2024.04.17-2
duckdns 1.1.1-1
duf 0.9.1-1
dust 1.2.4-2
dwarffortress 53.11-1
dwarffortress-linuxdwarfpack-appimage 0.47.05_r8-1
easyeffects 8.1.4-1
easyeffects-bundy01-presets 2.3-1
edk2-ovmf 202508-1
efibootmgr 18-3
emacs 30.2-1
entr 5.8-1
evtest 1.36-1
eww-git 0.6.0.r88.gfddb4a0-1
ex-vi-compat 2-1
eza 0.23.4-3
fastfetch 2.60.0-1
fcft 3.3.3-1
fd 10.4.2-1
feh 3.11.3-1
firefox 148.0.2-1
font-manager 0.9.4-2
fontforge 20251009-5
fuzzel 1.14.1-1
fzf 0.70.0-1
