status	family	state	tier	detail
UPSTREAM_CANDIDATE	ambient_baby_opossum	disapprove	optional	custodian/asset_drop/source_work/baby_opossum/opossum_disapprove_s_v1.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	eat	optional	custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__melee__death_01__e__5f__96.png; custodian/asset_drop/source_work/baby_opossum/opossum_eat_s_v1.png; custodian/asset_drop/source_work/baby_opossum/opossum_notice_treat_s_v1.png; custodian/asset_drop/source_work/pursuit_frame/review/pixelart_candidates/balanced/death_shutdown_01__s.png; custodian/asset_drop/source_work/pursuit_frame/review/pixelart_candidates/crisp/death_shutdown_01__s.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	find_target	optional	custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__melee__taunt_point_01__e__5f__96.png; custodian/asset_drop/source_work/pursuit_frame/generated/pursuit_frame__body__activity__checkpoint_halt_01__s__generated_source__2172x724.png; custodian/asset_drop/source_work/pursuit_frame/working/checkpoint_halt.png; custodian/asset_drop/source_work/pursuit_frame/working/checkpoint_halt_pixel_96x96_sheet.png; custodian/asset_drop/source_work/pursuit_frame/working/checkpoint_halt_pixel_96x96_crisp.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	friend_happy	optional	custodian/asset_drop/source_work/baby_opossum/opossum_friend_happy_s_v1.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	hide_exit	optional	custodian/asset_drop/source_work/baby_opossum/opossum__barrel_prop__hide_exit_s_v1.png; custodian/asset_drop/source_work/baby_opossum/opossum__body__hide_exit_s_v1.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	hiss	optional	custodian/asset_drop/source_work/baby_opossum/opossum_hiss_s_v1.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	look	optional	custodian/asset_drop/source_work/baby_opossum/opossum_look_s_v1.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	search	optional	custodian/asset_drop/source_work/pursuit_frame/review/pixelart_candidates/balanced/search_sweep_01__s.png; custodian/asset_drop/source_work/pursuit_frame/review/pixelart_candidates/crisp/search_sweep_01__s.png; custodian/asset_drop/source_work/pursuit_frame/generated/source_sheets_20260901/search_sweep__s__S.png
UPSTREAM_CANDIDATE	ambient_baby_opossum	startle	optional	custodian/asset_drop/source_work/baby_opossum/opossum_startle_s_v1.png
UPSTREAM_CANDIDATE	awakening_ambulatory_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_attestation_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_authority_inlay	corner	required	custodian/asset_drop/source_work/lower_quarter_region/v2_extract/walls/lower_quarter_corner/gothic_scifi_corner_outer_01.png; custodian/asset_drop/source_work/lower_quarter_region/v2_extract/walls/lower_quarter_corner/gothic_scifi_corner_inner_01.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_walls/corner_block_01.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_walls/corner_block_02.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_floor/conduit_corner_01.png
UPSTREAM_CANDIDATE	awakening_authority_inlay	cross	required	custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_floor/marking_cross_01.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_floor/conduit_cross_02.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_floor/conduit_cross_01.png
UPSTREAM_CANDIDATE	awakening_authority_inlay	straight	required	custodian/asset_drop/source_work/lower_quarter_region/v2_extract/props/lower_quarter_railing/railing_straight_01.png; custodian/asset_drop/source_work/lower_quarter_region/v2_extract/walls/lower_quarter_cap/gothic_scifi_cap_straight_01.png; custodian/asset_drop/source_work/lower_quarter_region/v2_extract/walls/lower_quarter_base/gothic_scifi_base_straight_01.png
UPSTREAM_CANDIDATE	awakening_authority_inlay	t_junction	required	custodian/asset_drop/production_prep/carrow_machine_house_extract/props/native_extract/props_carrow_conduit_junction__native.png; custodian/asset_drop/production_prep/carrow_machine_house_extract/props/runtime/props_carrow_conduit_junction.png; custodian/asset_drop/production_prep/carrow_yard_v2/families/carrow_machine_house_props/conduit_junction.png
UPSTREAM_CANDIDATE	awakening_authority_inlay	threshold	required	custodian/asset_drop/source_work/district_transfer_frame/district_transfer_frame_threshold_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/rest_threshold.png; custodian/asset_drop/source_work/awakening/_orig_backup/gate_of_dust/rest_threshold.png; custodian/asset_drop/source_work/awakening/_normalized_ready/gate_of_dust/rest_threshold.png; custodian/asset_drop/production_prep/carrow_resize_review/district_transfer_frame_threshold_v1.png
UPSTREAM_CANDIDATE	awakening_creche_console	idle	required	custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__idle_02__e__5f__96.png; custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__idle_01__e__5f__96.png; custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__unarmed_idle_01__e__5f__96.png; custodian/asset_drop/source_work/baby_opossum/opossum_idle_n_v1.png; custodian/asset_drop/source_work/baby_opossum/opossum_idle_s_v1.png
UPSTREAM_CANDIDATE	awakening_creche_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_custodian_approach_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_custodian_approach_environment	underlay	required	custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__mineral_haze_01__1536x1536.png; custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__chapel_haze_01_1024x768.png; custodian/asset_drop/source_work/awakening/late_service/late_service_underlay.png; custodian/asset_drop/source_work/awakening/undergate/undergate_underlay_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_underlay_source_v1.png
UPSTREAM_CANDIDATE	awakening_dust_lung_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_dust_motes	loop	required	custodian/asset_drop/production_prep/carrow_yard_v2/families/district_transfer_frame/aperture_loop.png
UPSTREAM_CANDIDATE	awakening_falling_ash	loop	required	custodian/asset_drop/production_prep/carrow_yard_v2/families/district_transfer_frame/aperture_loop.png
UPSTREAM_CANDIDATE	awakening_gate_plaza_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_gate_plaza_environment	underlay	required	custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__mineral_haze_01__1536x1536.png; custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__chapel_haze_01_1024x768.png; custodian/asset_drop/source_work/awakening/late_service/late_service_underlay.png; custodian/asset_drop/source_work/awakening/undergate/undergate_underlay_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_underlay_source_v1.png
UPSTREAM_CANDIDATE	awakening_gate_wind_dust	loop	required	custodian/asset_drop/production_prep/carrow_yard_v2/families/district_transfer_frame/aperture_loop.png
UPSTREAM_CANDIDATE	awakening_late_service_environment	foreground	required	custodian/asset_drop/source_work/awakening/late_service/late_service_foreground.png; custodian/asset_drop/source_work/awakening/undergate/undergate_foreground_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_foreground_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/gate_of_dust_foreground_source_v1.png
UPSTREAM_CANDIDATE	awakening_late_service_environment	underlay	required	custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__mineral_haze_01__1536x1536.png; custodian/asset_drop/source_work/ritualant_scene/ritualant_underground__underlay__chapel_haze_01_1024x768.png; custodian/asset_drop/source_work/awakening/late_service/late_service_underlay.png; custodian/asset_drop/source_work/awakening/undergate/undergate_underlay_source_v1.png; custodian/asset_drop/source_work/awakening/gate_of_dust/custodian_approach_underlay_source_v1.png
UPSTREAM_CANDIDATE	awakening_late_service_relay_lamp	idle	required	custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__idle_02__e__5f__96.png; custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__idle_01__e__5f__96.png; custodian/asset_drop/source_work/enemy_grunt/enemy_grunt__body__locomotion__unarmed_idle_01__e__5f__96.png; custodian/asset_drop/source_work/baby_opossum/opossum_idle_n_v1.png; custodian/asset_drop/source_work/baby_opossum/opossum_idle_s_v1.png
