semantic,direction,kind,frame_count,mean_jitter,max_jitter,baseline_range,center_range,width_range,height_range,union_area,core_area,envelope_to_core
full__dodge_01,s,action,9,0.36787,0.49328,0.00,5.02,17.00,19.00,2794,736,3.7962
melee__light_01,s,other,31,0.60471,1.00000,40.00,13.39,15.00,79.00,1043,0,0.0000
unarmed__arrival_01,s,other,9,0.31678,0.73535,2.00,6.71,19.00,15.00,3770,344,10.9593
unarmed__critical_execution_01,s,other,8,0.32217,0.46775,2.00,5.60,27.00,6.00,3370,1161,2.9027
unarmed__fast_01,s,other,6,0.23824,0.33705,12.00,2.69,19.00,14.00,2429,1165,2.0850
unarmed__fast_recovery_01,s,other,3,0.20928,0.25129,0.00,3.34,2.00,7.00,2334,1549,1.5068
unarmed__fast_strike_01,s,action,3,0.21582,0.23933,3.00,2.47,9.00,2.00,2165,1526,1.4187
unarmed__fast_windup_01,s,other,3,0.27415,0.28830,1.00,3.40,1.00,3.00,2575,1561,1.6496
unarmed__heavy_01,s,other,7,0.36968,0.55002,5.00,6.29,16.00,29.00,2857,865,3.3029
unarmed__idle_01,s,idle,13,0.28987,0.44723,2.00,1.22,9.00,10.00,2305,1037,2.2228
unarmed__idle_hitreact_01,s,idle,5,0.17791,0.27826,0.00,0.44,7.00,8.00,2039,1365,1.4938
unarmed__light_hitreact_01,s,action,3,0.34493,0.38865,2.00,4.36,5.00,1.00,2261,1229,1.8397
unarmed__run_01,s,run,12,0.28183,0.33702,7.00,3.96,27.00,7.00,2542,1052,2.4163
unarmed__walk_01,s,walk,11,0.41158,0.46688,7.00,1.44,27.00,9.00,2339,851,2.7485
ranged_2h__aim_01,se,other,5,0.11772,0.18791,0.00,1.96,17.00,1.00,2073,1411,1.4692
ranged_2h__fire_01,se,action,5,0.10562,0.14239,0.00,0.85,23.00,2.00,1896,1550,1.2232
ranged_2h__stance_01,se,other,5,0.06635,0.08196,0.00,0.89,3.00,1.00,2211,1848,1.1964
sidearm__draw_sidearm_01,se,other,5,0.18579,0.23688,1.00,2.78,3.00,3.00,2589,1509,1.7157
sidearm__fire_sidearm_01,se,action,5,0.15606,0.19800,0.00,2.51,3.00,3.00,1901,1327,1.4326
unarmed__fast_recovery_01,se,other,3,0.27586,0.34555,0.00,4.88,6.00,7.00,2505,1376,1.8205
unarmed__fast_strike_01,se,action,3,0.33728,0.35618,2.00,3.50,12.00,4.00,3315,1896,1.7484
unarmed__fast_windup_01,se,other,3,0.25015,0.25704,1.00,2.33,5.00,3.00,3086,1952,1.5809
