semantic,direction,frame_index,composition,width,height,area,fill_ratio,centroid_x,centroid_y,center_offset_x,baseline,top_margin,bottom_margin,left_margin,right_margin,vertical_utilization,horizontal_utilization,components,largest_component_ratio,head_width,shoulder_width,torso_width,hip_width,stance_width,head_to_shoulder,torso_to_shoulder,hip_to_shoulder,stance_to_shoulder,clipped,value_available,mean_luma,value_range,dark_ratio,light_ratio,edge_contrast,sources
full__dodge_01,n,1,full,42,73,2080,0.67841,46.833,52.622,-0.667,86,14,9,26,28,0.76042,0.43750,1,1.00000,22,39,36.0,39,42,0.56410,0.92308,1.00000,1.07692,false,true,0.22453,0.30284,0.61875,0.00481,0.04558,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,2,full,60,68,2061,0.50515,47.093,51.601,-0.407,84,17,11,18,18,0.70833,0.62500,1,1.00000,39,45,34,46,41,0.86667,0.75556,1.02222,0.91111,false,true,0.21943,0.31262,0.63513,0.00534,0.07725,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,3,full,60,76,2166,0.47500,47.836,48.062,0.336,87,12,8,18,18,0.79167,0.62500,1,1.00000,34,43,41,50,39,0.79070,0.95349,1.16279,0.90698,false,true,0.22673,0.29823,0.61034,0.00600,0.05978,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,4,full,65,60,2210,0.56667,51.710,58.921,4.210,84,25,11,15,16,0.62500,0.67708,1,1.00000,30,39,39,59,63,0.76923,1.00000,1.51282,1.61538,false,true,0.22590,0.31049,0.63258,0.00860,0.05309,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,5,full,52,56,1763,0.60543,39.134,61.100,-8.366,84,29,11,15,29,0.58333,0.54167,1,1.00000,25,34,34,43,50,0.73529,1.00000,1.26471,1.47059,false,true,0.22103,0.32241,0.64549,0.00681,0.05802,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,6,full,56,67,2061,0.54931,45.164,55.017,-2.336,85,19,10,19,21,0.69792,0.58333,1,1.00000,29,42,37.0,45,47,0.69048,0.88095,1.07143,1.11905,false,true,0.22535,0.30270,0.62154,0.00728,0.06664,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,7,full,48,78,1980,0.52885,46.665,46.487,-0.835,85,8,10,23,25,0.81250,0.50000,1,1.00000,24,39,35.0,36,37,0.61538,0.89744,0.92308,0.94872,false,true,0.22284,0.31333,0.61414,0.00455,0.06091,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,8,full,45,78,2121,0.60427,47.466,47.591,-0.034,85,8,10,25,26,0.81250,0.46875,1,1.00000,27,45,41.5,45,37,0.60000,0.92222,1.00000,0.82222,false,true,0.22746,0.32331,0.62046,0.01084,0.09116,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,n,9,full,39,71,1973,0.71253,47.398,52.508,-0.102,85,15,10,28,29,0.73958,0.40625,1,1.00000,21,38,36.0,38,39,0.55263,0.94737,1.00000,1.02632,false,true,0.22336,0.31865,0.62950,0.00963,0.06055,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png
full__dodge_01,s,1,full,40,60,1655,0.68958,47.746,56.244,0.246,84,25,11,27,29,0.62500,0.41667,1,1.00000,23,37,37,40,40,0.62162,1.00000,1.08108,1.08108,false,true,0.20714,0.33197,0.69245,0.01269,0.04793,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,2,full,51,57,1475,0.50740,47.349,54.742,-0.151,84,28,11,24,21,0.59375,0.53125,1,1.00000,31,49,40.5,41,36,0.63265,0.82653,0.83673,0.73469,false,true,0.21153,0.34306,0.66576,0.00678,0.05756,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,3,full,45,57,1589,0.61949,47.795,53.146,0.295,84,28,11,25,26,0.59375,0.46875,1,1.00000,41,41,34.0,35,33,1.00000,0.82927,0.85366,0.80488,false,true,0.22945,0.32403,0.61989,0.00818,0.06521,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,4,full,55,49,1558,0.57811,44.427,59.990,-3.073,84,36,11,20,21,0.51042,0.57292,1,1.00000,29,42,42,52,51,0.69048,1.00000,1.23810,1.21429,false,true,0.23973,0.35461,0.59178,0.00770,0.07691,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,5,full,53,50,1533,0.57849,48.294,62.480,0.794,84,35,11,22,21,0.52083,0.55208,1,1.00000,26,37,37,44,53,0.70270,1.00000,1.18919,1.43243,false,true,0.21769,0.36194,0.65492,0.00913,0.07224,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,6,full,52,65,1720,0.50888,48.486,51.620,0.986,84,20,11,23,21,0.67708,0.54167,1,1.00000,29,44,36.5,40,40,0.65909,0.82955,0.90909,0.90909,false,true,0.23326,0.31535,0.58081,0.00523,0.05179,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,7,full,44,68,1663,0.55582,49.443,51.127,1.943,84,17,11,26,26,0.70833,0.45833,1,1.00000,24,33,32,35,38,0.72727,0.96970,1.06061,1.15152,false,true,0.22865,0.33756,0.61515,0.00842,0.08815,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,8,full,42,68,1769,0.61940,47.933,51.069,0.433,84,17,11,27,27,0.70833,0.43750,1,1.00000,29,40,34,34,34,0.72500,0.85000,0.85000,0.85000,false,true,0.23534,0.32798,0.57716,0.00735,0.09197,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
full__dodge_01,s,9,full,38,64,1736,0.71382,47.779,53.935,0.279,84,21,11,29,29,0.66667,0.39583,1,1.00000,27,38,36,38,36,0.71053,0.94737,1.00000,0.94737,false,true,0.21982,0.34724,0.65380,0.01094,0.06886,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png
melee_1h,e,1,full,61,70,2349,0.55012,38.854,52.702,-8.646,84,15,11,5,30,0.72917,0.63542,1,1.00000,45,52,35,44,56,0.86538,0.67308,0.84615,1.07692,false,true,0.17633,0.32586,0.75436,0.01362,0.07162,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,2,full,63,64,2329,0.57763,41.588,56.467,-5.912,84,21,11,5,28,0.66667,0.65625,1,1.00000,49,51,30,53,61,0.96078,0.58824,1.03922,1.19608,false,true,0.16961,0.31407,0.77888,0.01417,0.07452,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,3,full,71,66,2497,0.53286,45.642,54.696,-1.858,84,19,11,7,18,0.68750,0.73958,1,1.00000,53,55,41.0,55,59,0.96364,0.74545,1.00000,1.07273,false,true,0.17198,0.30098,0.77253,0.01241,0.07584,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,4,full,70,59,2474,0.59903,43.804,58.804,-3.696,84,26,11,5,21,0.61458,0.72917,4,0.99838,35,49,48.0,70,59,0.71429,0.97959,1.42857,1.20408,false,true,0.16405,0.30918,0.79790,0.01293,0.06861,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,5,full,81,66,2630,0.49196,39.401,55.775,-8.099,84,19,11,0,15,0.68750,0.84375,2,0.99962,30,67,34.5,61,62,0.44776,0.51493,0.91045,0.92537,true,true,0.17408,0.30961,0.76882,0.01103,0.07632,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,6,full,68,61,2283,0.55039,42.454,59.589,-5.046,84,24,11,3,25,0.63542,0.70833,2,0.99956,27,39,38.5,59,62,0.69231,0.98718,1.51282,1.58974,false,true,0.15169,0.30198,0.82216,0.01007,0.06465,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,7,full,59,72,2287,0.53837,42.745,52.746,-4.755,85,14,10,14,23,0.75000,0.61458,2,0.50765,29,55,39.5,39,52,0.52727,0.71818,0.70909,0.94545,false,true,0.18085,0.33860,0.74246,0.01662,0.07777,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,e,8,full,46,72,2247,0.67844,44.657,52.123,-2.843,84,13,11,21,29,0.75000,0.47917,1,1.00000,29,40,40.0,44,43,0.72500,1.00000,1.10000,1.07500,false,true,0.18578,0.33755,0.73832,0.02047,0.09174,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png
melee_1h,w,1,full,61,70,2349,0.55012,56.146,52.702,8.646,84,15,11,30,5,0.72917,0.63542,1,1.00000,45,52,35,44,56,0.86538,0.67308,0.84615,1.07692,false,true,0.17633,0.32586,0.75436,0.01362,0.07162,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,2,full,63,64,2329,0.57763,53.412,56.467,5.912,84,21,11,28,5,0.66667,0.65625,1,1.00000,49,51,30,53,61,0.96078,0.58824,1.03922,1.19608,false,true,0.16961,0.31407,0.77888,0.01417,0.07452,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,3,full,71,66,2497,0.53286,49.358,54.696,1.858,84,19,11,18,7,0.68750,0.73958,1,1.00000,53,55,41.0,55,59,0.96364,0.74545,1.00000,1.07273,false,true,0.17198,0.30098,0.77253,0.01241,0.07584,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,4,full,70,59,2474,0.59903,51.196,58.804,3.696,84,26,11,21,5,0.61458,0.72917,4,0.99838,35,49,48.0,70,59,0.71429,0.97959,1.42857,1.20408,false,true,0.16405,0.30918,0.79790,0.01293,0.06861,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,5,full,81,66,2630,0.49196,55.599,55.775,8.099,84,19,11,15,0,0.68750,0.84375,2,0.99962,30,67,34.5,61,62,0.44776,0.51493,0.91045,0.92537,true,true,0.17408,0.30961,0.76882,0.01103,0.07632,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,6,full,68,61,2283,0.55039,52.546,59.589,5.046,84,24,11,25,3,0.63542,0.70833,2,0.99956,27,39,38.5,59,62,0.69231,0.98718,1.51282,1.58974,false,true,0.15169,0.30198,0.82216,0.01007,0.06465,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,7,full,59,72,2287,0.53837,52.255,52.746,4.755,85,14,10,23,14,0.75000,0.61458,2,0.50765,29,55,39.5,39,52,0.52727,0.71818,0.70909,0.94545,false,true,0.18085,0.33860,0.74246,0.01662,0.07777,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee_1h,w,8,full,46,72,2247,0.67844,50.343,52.123,2.843,84,13,11,29,21,0.75000,0.47917,1,1.00000,29,40,40.0,44,43,0.72500,1.00000,1.10000,1.07500,false,true,0.18578,0.33755,0.73832,0.02047,0.09174,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png
melee__fast_01,e,1,full,64,67,1608,0.37500,44.343,60.577,-3.157,94,28,1,4,28,0.69792,0.66667,5,0.99751,32,39,38.5,53,56,0.82051,0.98718,1.35897,1.43590,false,true,0.22758,0.57416,0.66231,0.03607,0.02044,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,2,full,67,67,1645,0.36645,43.736,60.808,-3.764,94,28,1,1,28,0.69792,0.69792,6,0.99696,32,40,39.0,56,56,0.80000,0.97500,1.40000,1.40000,false,true,0.23832,0.61932,0.64742,0.04559,0.01582,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,3,full,82,64,1851,0.35271,49.742,52.025,2.242,83,20,12,2,12,0.66667,0.85417,11,0.97191,74,66,57,56,55,1.12121,0.86364,0.84848,0.83333,false,true,0.25013,0.64682,0.62129,0.04862,0.01460,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
melee__fast_01,e,4,full,72,83,1620,0.27108,57.579,50.169,10.079,82,0,13,23,1,0.86458,0.75000,17,0.96667,55,33,28,32,45,1.66667,0.84848,0.96970,1.36364,true,true,0.25907,0.68138,0.61728,0.07407,0.03680,/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png
