/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__n__9f__96.png | semantic=full__dodge_01 | direction=n | layer=full | declared=96x96 | actual_frame=96x96 | frames=9
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/dodge/body/operator__body__full__dodge_01__s__9f__96.png | semantic=full__dodge_01 | direction=s | layer=full | declared=96x96 | actual_frame=96x96 | frames=9
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__e__8f__156x96.png | semantic=melee_1h | direction=e | layer=full | declared=156x96 | actual_frame=156x96 | frames=8
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee_1h/operator__body__melee_1h__w__8f__156x96.png | semantic=melee_1h | direction=w | layer=full | declared=156x96 | actual_frame=156x96 | frames=8
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/operator__body__melee__fast_01__e__12f__96.png | semantic=melee__fast_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png | semantic=melee__light_01 | direction=s | layer=full | declared=100x100 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png | semantic=melee__light_01 | direction=s | layer=full | declared=101x101 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__96.png | semantic=melee__light_01 | direction=s | layer=full | declared=96x96 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__97.png | semantic=melee__light_01 | direction=s | layer=full | declared=97x97 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__98.png | semantic=melee__light_01 | direction=s | layer=full | declared=98x98 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__99.png | semantic=melee__light_01 | direction=s | layer=full | declared=99x99 | actual_frame=16x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/aim_01/operator__modular_upper_body__ranged_2h__aim_01__e__5f__96.png | semantic=ranged_2h__aim_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/aim_01/operator__modular_lower_body__ranged_2h__aim_01__e__5f__96.png | semantic=ranged_2h__aim_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/aim_01/operator__modular_upper_body__ranged_2h__aim_01__se__5f__96.png | semantic=ranged_2h__aim_01 | direction=se | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/aim_01/operator__modular_lower_body__ranged_2h__aim_01__se__5f__96.png | semantic=ranged_2h__aim_01 | direction=se | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/aim_01/operator__modular_upper_body__ranged_2h__aim_01__sw__5f__96.png | semantic=ranged_2h__aim_01 | direction=sw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/aim_01/operator__modular_lower_body__ranged_2h__aim_01__sw__5f__96.png | semantic=ranged_2h__aim_01 | direction=sw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
